archetype_id,segment,approved_dominant_behavior,active_share,monthly_retention,activation_rate,support_only_probability,zero_cash_probability,annual_cash_mean_usd,annual_ordinary_hours,annual_skilled_hours,redirect_propensity,direct_propensity,dac_propensity,wtp_index,wta_index,action_cost_index,trust,evidence_tolerance,reliability,repeat_use,dependence_cluster,provenance,dominant_crux,update_observable,eoy5_active,five_year_user_years,five_year_support_user_years,five_year_cash_capacity
EA1,EA,high-budget donor and redirector,0.07,0.977,0.58,0.04,0.08,250,5,1.5,0.72,0.12,0.16,1.35,1.15,1.1,0.72,0.68,0.9,0.66,engaged_donor,AI-proposed around owner segment mean,budget and credible planned-donation incidence,prospective annual budget and authorization records,17500,44479.1666667,1779.16666667,10675000
EA2,EA,moral-public-good funder or organizer,0.08,0.974,0.54,0.08,0.12,180,11,4,0.22,0.18,0.82,1.2,1.05,1,0.76,0.78,0.88,0.72,organizer,AI-proposed around owner segment mean,pool demand and organizer repeat,preregistered pool funnel and repeat cohorts,20000,50833.3333333,4066.66666667,8418000
EA3,EA,low-cash behavioral-action supplier,0.09,0.955,0.48,0.12,0.48,20,30,1,0.08,0.86,0.12,0.55,0.48,0.55,0.6,0.52,0.74,0.45,behavior_supplier,AI-proposed around owner segment mean,action availability and retention,prospective time budget and verified completions,22500,57187.5,6862.5,1006500
EA4,EA,skilled-work or research supplier,0.07,0.968,0.5,0.1,0.35,60,8,28,0.05,0.86,0.16,0.95,1.45,1.55,0.68,0.82,0.86,0.59,skilled_supplier,AI-proposed around owner segment mean,skilled WTA and verification burden,prospective WTA and completed skilled hours,17500,44479.1666667,4447.91666667,2401875
EA5,EA,"reviewer, challenger, or low-cash participant",0.09,0.946,0.44,0.45,0.5,23.3333333333,18,5,0.1,0.38,0.24,0.65,0.62,0.7,0.55,0.88,0.78,0.4,reviewer,AI-proposed around owner segment mean,support-only versus transaction conversion,review funnel and later transaction activation,22500,57187.5,25734.375,733906.25
NE1,non_EA,opposed-cause or political donor,0.12,0.952,0.43,0.06,0.22,80,5,1,0.75,0.08,0.07,1.1,1,1,0.42,0.4,0.8,0.38,opposed_donor,AI-proposed around owner segment mean,structured compatibility across opposed plans,precommitted destinations and clearing outcomes,30000,76250,4575,5734000
NE2,non_EA,ordinary charitable donor,0.13,0.958,0.46,0.1,0.25,60,6,1,0.68,0.1,0.12,0.95,0.9,0.9,0.55,0.52,0.84,0.44,ordinary_donor,AI-proposed around owner segment mean,credible fallback and displacement,prospective donation baselines and 12-month follow-up,32500,82604.1666667,8260.41666667,4460625
NE3,non_EA,cause-specific payer for actions,0.12,0.963,0.49,0.05,0.2,55,8,2,0.12,0.82,0.08,1.25,0.78,0.85,0.6,0.6,0.86,0.52,action_payer,AI-proposed around owner segment mean,payer WTP and cause-compatible supply,posted WTP and matched/unmatched demand,30000,76250,3812.5,3984062.5
NE4,non_EA,low-cost behavioral-action supplier,0.13,0.941,0.41,0.12,0.55,20,24,0.5,0.06,0.88,0.06,0.5,0.42,0.45,0.45,0.42,0.7,0.32,behavior_supplier,AI-proposed around owner segment mean,supplier reliability and attrition,verified authorizations and completion follow-up,32500,82604.1666667,9912.5,1453833.33333
NE5,non_EA,occasional public-good contributor or reviewer,0.1,0.936,0.39,0.407,0.42,34,12,2,0.12,0.2,0.58,0.72,0.72,0.8,0.48,0.68,0.73,0.28,occasional_reviewer,AI-proposed around owner segment mean,pool participation and support intensity,pool exposure and review/pledge cohorts,25000,63541.6666667,25861.4583333,1281127.08333
