month,year,target_active,ea_active,non_ea_active,support_only_active,transaction_active,retained_active,new_active,activated_active,activation_prospects,churned_active,repeat_active
1,1,4166.66666667,1666.66666667,2500,625,3541.66666667,0,4166.66666667,4166.66666667,9087.26294702,0,0
2,1,8333.33333333,3333.33333333,5000,1250,7083.33333333,3980.95833333,4352.375,4352.375,9504.07286575,185.708333333,1823.35541667
3,1,12500,5000,7500,1875,10625,7961.91666667,4538.08333333,4538.08333333,9920.88278447,371.416666667,3646.71083333
4,1,16666.6666667,6666.66666667,10000,2500,14166.6666667,11942.875,4723.79166667,4723.79166667,10337.6927032,557.125,5470.06625
5,1,20833.3333333,8333.33333333,12500,3125,17708.3333333,15923.8333333,4909.5,4909.5,10754.5026219,742.833333333,7293.42166667
6,1,25000,10000,15000,3750,21250,19904.7916667,5095.20833333,5095.20833333,11171.3125407,928.541666667,9116.77708333
7,1,29166.6666667,11666.6666667,17500,4375,24791.6666667,23885.75,5280.91666667,5280.91666667,11588.1224594,1114.25,10940.1325
8,1,33333.3333333,13333.3333333,20000,5000,28333.3333333,27866.7083333,5466.625,5466.625,12004.9323781,1299.95833333,12763.4879167
9,1,37500,15000,22500,5625,31875,31847.6666667,5652.33333333,5652.33333333,12421.7422968,1485.66666667,14586.8433333
10,1,41666.6666667,16666.6666667,25000,6250,35416.6666667,35828.625,5838.04166667,5838.04166667,12838.5522156,1671.375,16410.19875
11,1,45833.3333333,18333.3333333,27500,6875,38958.3333333,39809.5833333,6023.75,6023.75,13255.3621343,1857.08333333,18233.5541667
12,1,50000,20000,30000,7500,42500,43790.5416667,6209.45833333,6209.45833333,13672.172053,2042.79166667,20056.9095833
13,2,54166.6666667,21666.6666667,32500,8125,46041.6666667,47771.5,6395.16666667,6395.16666667,14088.9819717,2228.5,21880.265
14,2,58333.3333333,23333.3333333,35000,8750,49583.3333333,51752.4583333,6580.875,6580.875,14505.7918905,2414.20833333,23703.6204167
15,2,62500,25000,37500,9375,53125,55733.4166667,6766.58333333,6766.58333333,14922.6018092,2599.91666667,25526.9758333
16,2,66666.6666667,26666.6666667,40000,10000,56666.6666667,59714.375,6952.29166667,6952.29166667,15339.4117279,2785.625,27350.33125
17,2,70833.3333333,28333.3333333,42500,10625,60208.3333333,63695.3333333,7138,7138,15756.2216466,2971.33333333,29173.6866667
18,2,75000,30000,45000,11250,63750,67676.2916667,7323.70833333,7323.70833333,16173.0315654,3157.04166667,30997.0420833
19,2,79166.6666667,31666.6666667,47500,11875,67291.6666667,71657.25,7509.41666667,7509.41666667,16589.8414841,3342.75,32820.3975
20,2,83333.3333333,33333.3333333,50000,12500,70833.3333333,75638.2083333,7695.125,7695.125,17006.6514028,3528.45833333,34643.7529167
21,2,87500,35000,52500,13125,74375,79619.1666667,7880.83333333,7880.83333333,17423.4613215,3714.16666667,36467.1083333
22,2,91666.6666667,36666.6666667,55000,13750,77916.6666667,83600.125,8066.54166667,8066.54166667,17840.2712403,3899.875,38290.46375
23,2,95833.3333333,38333.3333333,57500,14375,81458.3333333,87581.0833333,8252.25,8252.25,18257.081159,4085.58333333,40113.8191667
24,2,100000,40000,60000,15000,85000,91562.0416667,8437.95833333,8437.95833333,18673.8910777,4271.29166667,41937.1745833
25,3,104166.666667,41666.6666667,62500,15625,88541.6666667,95543,8623.66666667,8623.66666667,19090.7009964,4457,43760.53
26,3,108333.333333,43333.3333333,65000,16250,92083.3333333,99523.9583333,8809.375,8809.375,19507.5109152,4642.70833333,45583.8854167
27,3,112500,45000,67500,16875,95625,103504.916667,8995.08333333,8995.08333333,19924.3208339,4828.41666667,47407.2408333
28,3,116666.666667,46666.6666667,70000,17500,99166.6666667,107485.875,9180.79166667,9180.79166667,20341.1307526,5014.125,49230.59625
29,3,120833.333333,48333.3333333,72500,18125,102708.333333,111466.833333,9366.5,9366.5,20757.9406713,5199.83333333,51053.9516667
30,3,125000,50000,75000,18750,106250,115447.791667,9552.20833333,9552.20833333,21174.7505901,5385.54166667,52877.3070833
31,3,129166.666667,51666.6666667,77500,19375,109791.666667,119428.75,9737.91666667,9737.91666667,21591.5605088,5571.25,54700.6625
32,3,133333.333333,53333.3333333,80000,20000,113333.333333,123409.708333,9923.625,9923.625,22008.3704275,5756.95833333,56524.0179167
33,3,137500,55000,82500,20625,116875,127390.666667,10109.3333333,10109.3333333,22425.1803462,5942.66666667,58347.3733333
34,3,141666.666667,56666.6666667,85000,21250,120416.666667,131371.625,10295.0416667,10295.0416667,22841.990265,6128.375,60170.72875
35,3,145833.333333,58333.3333333,87500,21875,123958.333333,135352.583333,10480.75,10480.75,23258.8001837,6314.08333333,61994.0841667
36,3,150000,60000,90000,22500,127500,139333.541667,10666.4583333,10666.4583333,23675.6101024,6499.79166667,63817.4395833
37,4,154166.666667,61666.6666667,92500,23125,131041.666667,143314.5,10852.1666667,10852.1666667,24092.4200211,6685.5,65640.795
38,4,158333.333333,63333.3333333,95000,23750,134583.333333,147295.458333,11037.875,11037.875,24509.2299399,6871.20833333,67464.1504167
