scenario,forecast_basis,year,metric,unit,draws,seed,mean,median,p05,p10,p25,p75,p90,p95,probability_positive
central,conditional,1,_contributor_choice_principal,USD_pledge_principal,200000,69520260814,91876.1115653,3109.56071166,25.9536775903,77.8785029717,460.194839712,18943.1746858,93038.5377159,242143.829915,1
central,conditional,1,_gross_threshold,USD,200000,69520260814,232227.67258,61581.7743328,4299.16883998,7754.64411013,20619.2860358,185487.629271,498071.696104,898056.74336,1
central,conditional,1,_mean_pledge,USD_per_contributor,200000,69520260814,121.911925923,75.1260713744,14.8875125128,21.2267826334,38.7944849022,145.708002427,264.190948647,378.333364751,1
central,conditional,1,_potential_contributors,contributors,200000,69520260814,2527.17264955,483.242235841,23.1578213951,45.3035453137,138.880505577,1665.03097114,5092.95515851,9801.68637124,1
central,conditional,1,_potential_pledge_principal,USD_pledge_principal,200000,69520260814,389088.58033,36186.7857253,960.685131414,2138.63486219,8181.48082355,159648.469393,608156.216397,1358226.98412,1
central,conditional,1,_project_target,USD,200000,69520260814,213112.740501,58665.4610498,4174.44053038,7515.1417422,19898.4869459,173851.676851,458864.276095,821829.91424,1
central,conditional,1,_reserve_before,USD_reserve_state,200000,69520260814,2500,2500,2500,2500,2500,2500,2500,2500,1
central,conditional,1,_reserve_capacity_probability,indicator,200000,69520260814,0.10889,0,0,0,0,0,1,1,0.10889
central,conditional,1,_reserve_exhaustion_probability,indicator,200000,69520260814,0,0,0,0,0,0,0,0,0
central,conditional,1,_stress_projected_liability,USD_internal_liability,200000,69520260814,1886.56474528,507.118014326,8.56457848763,22.1042934532,101.586837336,2216.67468701,5856.31484357,8718.29136194,1
central,conditional,1,_stress_projected_successful_target,USD,200000,69520260814,74589.4591753,20532.9113674,1461.05418563,2630.29960977,6964.47043107,60848.0868978,160602.496633,287640.469984,1
central,conditional,1,_surcharge_rate,proportion,200000,69520260814,0.0543926166954,0.0361138882292,0.0281370332558,0.0283536686953,0.0296253893974,0.0634667949921,0.121701037497,0.15,1
central,conditional,1,_willing_pledge,USD_pledge_principal,200000,69520260814,16431.8212238,2255.80690649,18.7142485266,56.7878294974,340.690571593,13101.9544431,49492.3070735,89977.7034309,1
central,conditional,1,dac_bonus_liability_locked,USD_internal_liability,200000,69520260814,566.435263709,123.296713416,0.992854521723,3.0272406167,18.3677054747,721.74879385,2500,2500,1
central,conditional,1,dac_bonus_liability_released,USD_internal_liability,200000,69520260814,102.579911741,23.2856192347,0.702102496742,1.60576117283,5.7844627717,101.59791506,244.012030115,444.266640595,1
central,conditional,1,dac_bonus_paid,USD_internal_transfer,200000,69520260814,463.855351968,88.7376992958,0,0,5.07345185282,568.068590862,1953.31282982,2289.26820217,0.818525
