scenario,forecast_basis,horizon,metric,field,unit,draws,seed,mean,median,p05,p10,p25,p75,p90,p95,probability_zero,evidence_status
central,conditional,year_1,cause_directed_cash,factory_farming_reduction,USD,200000,69520260814,7305.94201075,4289.19062491,289.225396862,587.168900483,1652.85116621,9664.10262947,17844.1636127,24589.7983404,0.000355,especially_prior_driven_appendix_only
central,conditional,year_1,cause_directed_cash,wild_animal_suffering,USD,200000,69520260814,1440.42950509,850.116559593,59.104183413,119.277418571,328.078264222,1893.71128631,3501.55031274,4826.8938534,0.000375,especially_prior_driven_appendix_only
central,conditional,year_1,cause_directed_cash,residual_existential_risk_prevention,USD,200000,69520260814,4636.12466751,2760.23151708,191.755510491,390.346416706,1075.38623768,6143.67887329,11252.8794668,15455.7928903,0.00039,especially_prior_driven_appendix_only
central,conditional,year_1,cause_directed_cash,preventing_extreme_power_concentration,USD,200000,69520260814,6410.44389129,3795.50595206,230.559688937,500.449483076,1438.71495539,8513.12713501,15670.7128203,21562.5722732,0.000305,especially_prior_driven_appendix_only
central,conditional,year_1,cause_directed_cash,biorisk_prevention,USD,200000,69520260814,3336.02061197,1975.87827782,132.119270815,270.850205892,761.443383833,4405.81747127,8115.10504789,11166.1941213,0.00027,especially_prior_driven_appendix_only
central,conditional,year_1,cause_directed_cash,space_governance,USD,200000,69520260814,1733.89711925,1024.20547441,70.5809517801,144.018208603,398.084876156,2278.74304478,4215.44854025,5812.33415237,0.000275,especially_prior_driven_appendix_only
central,conditional,year_1,cause_directed_cash,global_health,USD,200000,69520260814,9683.29229065,5761.48787688,366.302083649,770.720769371,2209.02794583,12907.2199887,23689.6582798,32459.7087965,0.000355,especially_prior_driven_appendix_only
central,conditional,year_1,cause_directed_cash,strategic_reasoning,USD,200000,69520260814,2394.08445985,1410.30168381,101.877028942,202.667552742,552.237723208,3150.45225114,5808.26491085,7987.38317457,0.00028,especially_prior_driven_appendix_only
central,conditional,year_1,cause_directed_cash,environmental_protection,USD,200000,69520260814,7974.91349084,4690.93402904,299.592257835,626.881429556,1791.44821193,10555.9680068,19513.3593482,26904.0530944,0.000345,especially_prior_driven_appendix_only
central,conditional,year_1,ordinary_action_hours,factory_farming_reduction,hours,200000,69520260814,6.59853587814,0.163105958667,0,0,0,2.52188657575,12.9981559636,29.2981581039,0.36392,especially_prior_driven_appendix_only
central,conditional,year_1,ordinary_action_hours,wild_animal_suffering,hours,200000,69520260814,0.725840177542,0.0173741195058,0,0,0,0.273163780997,1.41893795745,3.18716420704,0.363995,especially_prior_driven_appendix_only
central,conditional,year_1,ordinary_action_hours,residual_existential_risk_prevention,hours,200000,69520260814,1.79701819948,0.0435320849565,0,0,0,0.676530261979,3.5078984938,7.92595060906,0.36347,especially_prior_driven_appendix_only
central,conditional,year_1,ordinary_action_hours,preventing_extreme_power_concentration,hours,200000,69520260814,1.08759794453,0.0259115987237,0,0,0,0.406496173153,2.1185742011,4.77148753316,0.363795,especially_prior_driven_appendix_only
central,conditional,year_1,ordinary_action_hours,biorisk_prevention,hours,200000,69520260814,1.21215240344,0.0289078827806,0,0,0,0.451918098738,2.33012593231,5.29382525264,0.36373,especially_prior_driven_appendix_only
central,conditional,year_1,ordinary_action_hours,space_governance,hours,200000,69520260814,0.62698000471,0.0150374695111,0,0,0,0.234156850949,1.21293471412,2.74555547678,0.363865,especially_prior_driven_appendix_only
central,conditional,year_1,ordinary_action_hours,global_health,hours,200000,69520260814,2.69052881213,0.0657250770707,0,0,0,1.01912370696,5.28494084826,11.8768891814,0.363825,especially_prior_driven_appendix_only
central,conditional,year_1,ordinary_action_hours,strategic_reasoning,hours,200000,69520260814,1.66012723963,0.0398021863613,0,0,0,0.627731999293,3.23969630103,7.35859454736,0.364115,especially_prior_driven_appendix_only
central,conditional,year_1,ordinary_action_hours,environmental_protection,hours,200000,69520260814,4.14275286836,0.101644044797,0,0,0,1.58183516581,8.11789094116,18.2186186339,0.363915,especially_prior_driven_appendix_only
central,conditional,year_1,skilled_work_hours,factory_farming_reduction,hours,200000,69520260814,1.4643631286,0.0275546362797,0,0,0,0.468615755973,2.61846608994,6.16861276007,0.36438,especially_prior_driven_appendix_only
central,conditional,year_1,skilled_work_hours,wild_animal_suffering,hours,200000,69520260814,0.225226961911,0.00418802770807,0,0,0,0.0709883544905,0.400286571845,0.94718257926,0.36348,especially_prior_driven_appendix_only
central,conditional,year_1,skilled_work_hours,residual_existential_risk_prevention,hours,200000,69520260814,0.560912237209,0.0104662599307,0,0,0,0.178286280242,1.00189498009,2.34425109946,0.36372,especially_prior_driven_appendix_only
