scenario,forecast_basis,horizon,mechanism,metric,unit,draws,seed,mean,median,p05,p10,p25,p75,p90,p95,probability_zero,evidence_status
central,conditional,year_1,redirect,api_costs,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,bonus_transfer_fees,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,cash_operating_costs,USD,200000,69520260814,2837.26468488,1530.35804583,118.16836766,221.82743368,586.593316303,3543.94937614,6830.16384341,9812.59288725,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,cause_directed_cash,USD,200000,69520260814,42095.7342129,25938.5308979,2134.63902605,3965.66005405,10314.9317846,56900.7949558,102272.426353,137476.26028,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,chargeback_losses,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,cloud_costs,USD,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,completed_complementary_role_coacts,groups,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,completed_consumption_change,commitments_or_groups,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,completed_dietary_animal_product,commitments_or_groups,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,completed_direct_trades,commitments,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,completed_learning_forecasting_strategic_reasoning,commitments_or_groups,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect,completed_same_action_coacts,groups,200000,69520260814,0,0,0,0,0,0,0,0,1,prior_driven_synthetic_not_empirical
