scenario,forecast_basis,draws,seed,invariant,observed_max,tolerance,passed
central,conditional,200000,69520260814,max_cash_budget_overage,-203.85175174,1e-07,True
central,conditional,200000,69520260814,max_dac_accepted_over_willing_pledge,0,1e-07,True
central,conditional,200000,69520260814,max_dac_funding_over_accepted_principal,1.16415321827e-10,1e-07,True
central,conditional,200000,69520260814,max_dac_liability_over_reserve,7.27595761418e-12,1e-07,True
central,conditional,200000,69520260814,max_dac_liability_settlement_error,1.45519152284e-11,1e-07,True
central,conditional,200000,69520260814,max_dac_principal_reconciliation_error,1.30967237055e-10,1e-07,True
central,conditional,200000,69520260814,max_dac_reserve_reconciliation_error,2.91038304567e-11,1e-07,True
central,conditional,200000,69520260814,max_dac_threshold_reconciliation_error,0,1e-07,True
central,conditional,200000,69520260814,max_dac_waiting_reconciliation_error,0,1e-07,True
central,conditional,200000,69520260814,max_direct_accepted_price_above_wtp,0,1e-07,True
central,conditional,200000,69520260814,max_direct_accepted_price_below_wta,0,1e-07,True
central,conditional,200000,69520260814,max_direct_completion_over_match,0,1e-07,True
central,conditional,200000,69520260814,max_direct_match_over_supply,-134.870301805,1e-07,True
central,conditional,200000,69520260814,max_direct_match_without_price_compatibility,0,1e-07,True
central,conditional,200000,69520260814,max_direct_offered_over_time_budget,-157762.894904,1e-07,True
central,conditional,200000,69520260814,max_direct_payment_over_demand,-157.508585411,1e-07,True
central,conditional,200000,69520260814,max_direct_payment_reconciliation_error,1.16415321827e-10,1e-07,True
central,conditional,200000,69520260814,max_displacement_over_new_cash,-0.0951061192193,1e-07,True
central,conditional,200000,69520260814,max_field_cash_reconciliation_error,3.72529029846e-09,1e-05,True
central,conditional,200000,69520260814,max_field_ordinary_reconciliation_error,2.91038304567e-11,1e-05,True
central,conditional,200000,69520260814,max_field_skilled_reconciliation_error,7.27595761418e-12,1e-05,True
central,conditional,200000,69520260814,max_net_cash_reconciliation_error,1.97906047106e-09,1e-07,True
central,conditional,200000,69520260814,max_redirect_classification_reconciliation_error,9.31322574615e-10,1e-07,True
central,conditional,200000,69520260814,max_redirect_principal_reconciliation_error,0,1e-07,True
central,conditional,200000,69520260814,max_redirect_settlement_reconciliation_error,6.98491930962e-10,1e-07,True
central,probability_weighted,200000,69530260833,max_cash_budget_overage,0,1e-07,True
central,probability_weighted,200000,69530260833,max_dac_accepted_over_willing_pledge,0,1e-07,True
central,probability_weighted,200000,69530260833,max_dac_funding_over_accepted_principal,1.16415321827e-10,1e-07,True
central,probability_weighted,200000,69530260833,max_dac_liability_over_reserve,3.63797880709e-12,1e-07,True
central,probability_weighted,200000,69530260833,max_dac_liability_settlement_error,7.27595761418e-12,1e-07,True
central,probability_weighted,200000,69530260833,max_dac_principal_reconciliation_error,1.60071067512e-10,1e-07,True
central,probability_weighted,200000,69530260833,max_dac_reserve_reconciliation_error,2.91038304567e-11,1e-07,True
central,probability_weighted,200000,69530260833,max_dac_threshold_reconciliation_error,0,1e-07,True
central,probability_weighted,200000,69530260833,max_dac_waiting_reconciliation_error,0,1e-07,True
central,probability_weighted,200000,69530260833,max_direct_accepted_price_above_wtp,0,1e-07,True
central,probability_weighted,200000,69530260833,max_direct_accepted_price_below_wta,0,1e-07,True
central,probability_weighted,200000,69530260833,max_direct_completion_over_match,0,1e-07,True
central,probability_weighted,200000,69530260833,max_direct_match_over_supply,0,1e-07,True
central,probability_weighted,200000,69530260833,max_direct_match_without_price_compatibility,0,1e-07,True
central,probability_weighted,200000,69530260833,max_direct_offered_over_time_budget,0,1e-07,True
central,probability_weighted,200000,69530260833,max_direct_payment_over_demand,0,1e-07,True
central,probability_weighted,200000,69530260833,max_direct_payment_reconciliation_error,5.82076609135e-11,1e-07,True
central,probability_weighted,200000,69530260833,max_displacement_over_new_cash,0,1e-07,True
central,probability_weighted,200000,69530260833,max_field_cash_reconciliation_error,3.72529029846e-09,1e-05,True
central,probability_weighted,200000,69530260833,max_field_ordinary_reconciliation_error,1.45519152284e-11,1e-05,True
central,probability_weighted,200000,69530260833,max_field_skilled_reconciliation_error,1.45519152284e-11,1e-05,True
central,probability_weighted,200000,69530260833,max_net_cash_reconciliation_error,2.09547579288e-09,1e-07,True
central,probability_weighted,200000,69530260833,max_redirect_classification_reconciliation_error,4.65661287308e-10,1e-07,True
central,probability_weighted,200000,69530260833,max_redirect_principal_reconciliation_error,0,1e-07,True
