forecast_basis,horizon,output_metric,input_parameter,pearson_correlation,interpretation
conditional,five_year_cumulative,net_causal_cash,adoption_fraction,0.208654463414,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,adoption_liquidity_exponent,-0.0774789101647,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,api_cost_per_user_year,-0.084019483528,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,cash_additionality,0.0898431310994,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,cash_use_share,0.566386708627,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,cause_directed_payment_share,0.00887469890125,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,chargeback_loss_rate,-0.05690689399,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,cloud_cost_per_user_year,-0.0903250736985,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,coact_activity_share,0.188722909379,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,coact_attrition,-0.115518691557,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,coact_role_completion,0.15795860124,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,coact_same_action_share,0.0460069840038,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,coordination_hours_per_completion,-0.0369994790158,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,dac_bonus_response,0.00803016047865,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,dac_bonus_transfer_fee,-0.0701593920299,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,dac_contributor_interest,0.104315619284,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,dac_deadline_miss_rate,-0.0235734256421,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,dac_free_riding,-0.0781369293817,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,dac_invalid_pledge_share,-0.0512582762433,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,dac_mean_pledge,0.00509735603601,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,dac_moral_valuation,0.00480186442769,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,dac_pool_target,0.00648350697932,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,dac_pools_per_10000_user_years,0.0657742723348,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,dac_potential_contributors_per_pool,0.109935619193,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,dac_social_proof,0.0905648102025,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,dac_strategic_delay,0.000299252099484,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,dac_surcharge_sensitivity,-0.00154375405961,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,dac_willing_pledge_ratio,0.0810735580552,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,direct_category_fit,0.131187611655,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,direct_cause_fit,0.254877254489,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,direct_demand_fraction,0.323601494306,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,direct_match_efficiency,0.351599611333,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,direct_price_fit,0.0998907941262,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,direct_price_reference_scale,0.00121113156154,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,direct_skilled_category_share,0.0471676171232,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,direct_supply_fraction,0.310694783968,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,direct_timing_fit,0.165917775324,screening_association_not_causal_or_sobol
conditional,five_year_cumulative,net_causal_cash,direct_wta_multiplier,-0.0663501703584,screening_association_not_causal_or_sobol
