scenario,forecast_basis,horizon,metric,unit,draws,seed,mean,median,p05,p10,p25,p75,p90,p95,probability_zero,probability_zero_or_negative,probability_negligible,probability_gt_100k,probability_gt_500k,probability_gt_1m,probability_gt_5m,evidence_status
central,conditional,year_1,gross_planned_principal,USD,200000,69520260814,209508.547957,192423.871907,63665.9956335,82937.2183043,126196.359828,276462.2092,361344.565703,412730.066082,0,0,0,0.84587,0.011585,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect_cleared_principal,USD,200000,69520260814,38466.2355749,23975.4473735,2046.747657,3747.74658322,9567.20324273,52061.6570362,93044.5181687,125313.330459,0,0,0,0.086125,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect_settled_principal,USD,200000,69520260814,37054.6097586,23017.2073075,1953.43885612,3585.6066017,9161.41731412,50085.2091818,89661.2628412,120939.001404,0,0,0,0.0798,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect_matcher_addon_cash,USD,200000,69520260814,4357.15370256,2061.73759851,111.579565506,222.685113093,678.302755063,5410.21921933,11296.4008126,16567.9202964,0,0,0,5e-06,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,redirect_payment_settlement_loss,USD,200000,69520260814,1571.17696691,617.283292155,36.1139269829,71.3139910186,207.025429755,1691.51060195,3874.70029097,6161.52437478,0,0,0,5e-06,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,new_cash,USD,200000,69520260814,5279.24641051,2394.31714817,155.878611162,298.251529097,849.040983417,6074.44392567,13160.3472453,20105.4169399,0,0,0,0.00038,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,rescued_cash,USD,200000,69520260814,31047.0187948,19157.9991393,1619.32248435,2965.05939115,7587.43539422,41839.298665,75164.5348212,101582.796238,0,0,0,0.05211,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,within_high_impact_reallocation,USD,200000,69520260814,6007.59096383,2838.54124761,192.450664253,368.326946265,1008.69424966,7165.52013073,15131.9671536,22612.1596312,0,0,0,0.00038,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,cause_directed_cash,USD,200000,69520260814,48175.5201007,30102.9062045,3192.23727081,5388.72115888,12592.1415077,64241.5492534,115020.689646,155376.604614,0,0,0,0.12974,0.000105,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,personal_income_transfers,USD,200000,69520260814,3110.30682153,963.605883689,27.5580940779,64.9024656222,250.183959217,3190.78384436,8080.10382098,13442.0283764,0,0,0,7e-05,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,donation_displacement,USD,200000,69520260814,1334.72039125,540.254097176,35.3782694746,66.9974775814,189.881501491,1435.72458623,3276.47740721,5233.46507702,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
