archetype_id,mechanism,resource,would_anyway,might_without_platform,only_because_platform,increases_amount_or_duration,causal_credit,aggregate_mechanism_resource_credit,provenance,dominant_crux,update_observable,evidence_status
EA1,redirect,cash,0.5,0.25,0.15,0.1,0.2625,0.232515502043,AI-proposed after preserved first run; frozen before revised results,counterfactual planned giving,prospective fallback and 12-month follow-up,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA1,direct,cash,0.48,0.25,0.16,0.11,0.2775,0.334729665661,AI-proposed after preserved first run; frozen before revised results,payer counterfactual,prospective payment plan and randomized exposure,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA1,dac,cash,0.42,0.28,0.18,0.12,0.31,0.324166060531,AI-proposed after preserved first run; frozen before revised results,pool contribution counterfactual,prospective public-good budget and randomized exposure,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA1,direct,labor,0.42,0.27,0.19,0.12,0.3175,0.39648411138,AI-proposed after preserved first run; frozen before revised results,action duration counterfactual,prospective time plan and randomized exposure,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA2,redirect,cash,0.48,0.26,0.16,0.1,0.275,0.232515502043,AI-proposed after preserved first run; frozen before revised results,counterfactual planned giving,prospective fallback and 12-month follow-up,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA2,direct,cash,0.44,0.27,0.18,0.11,0.3025,0.334729665661,AI-proposed after preserved first run; frozen before revised results,payer counterfactual,prospective payment plan and randomized exposure,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA2,dac,cash,0.35,0.3,0.22,0.13,0.36,0.324166060531,AI-proposed after preserved first run; frozen before revised results,pool contribution counterfactual,prospective public-good budget and randomized exposure,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA2,direct,labor,0.38,0.27,0.22,0.13,0.3525,0.39648411138,AI-proposed after preserved first run; frozen before revised results,organizing/action counterfactual,prospective time plan and randomized exposure,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA3,redirect,cash,0.55,0.25,0.12,0.08,0.2225,0.232515502043,AI-proposed after preserved first run; frozen before revised results,counterfactual planned giving,prospective fallback and 12-month follow-up,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA3,direct,cash,0.35,0.28,0.24,0.13,0.375,0.334729665661,AI-proposed after preserved first run; frozen before revised results,payer counterfactual,prospective payment plan and randomized exposure,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA3,dac,cash,0.5,0.28,0.14,0.08,0.25,0.324166060531,AI-proposed after preserved first run; frozen before revised results,pool contribution counterfactual,prospective public-good budget and randomized exposure,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA3,direct,labor,0.3,0.27,0.28,0.15,0.4225,0.39648411138,AI-proposed after preserved first run; frozen before revised results,behavior counterfactual,prospective time plan and randomized exposure,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA4,redirect,cash,0.55,0.25,0.12,0.08,0.2225,0.232515502043,AI-proposed after preserved first run; frozen before revised results,counterfactual planned giving,prospective fallback and 12-month follow-up,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA4,direct,cash,0.3,0.25,0.27,0.18,0.4225,0.334729665661,AI-proposed after preserved first run; frozen before revised results,payer counterfactual,prospective payment plan and randomized exposure,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA4,dac,cash,0.48,0.28,0.15,0.09,0.265,0.324166060531,AI-proposed after preserved first run; frozen before revised results,pool contribution counterfactual,prospective public-good budget and randomized exposure,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA4,direct,labor,0.25,0.25,0.3,0.2,0.4625,0.39648411138,AI-proposed after preserved first run; frozen before revised results,skilled-work counterfactual,prospective time plan and randomized exposure,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA5,redirect,cash,0.6,0.23,0.1,0.07,0.1925,0.232515502043,AI-proposed after preserved first run; frozen before revised results,counterfactual planned giving,prospective fallback and 12-month follow-up,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA5,direct,cash,0.45,0.28,0.18,0.09,0.295,0.334729665661,AI-proposed after preserved first run; frozen before revised results,payer counterfactual,prospective payment plan and randomized exposure,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA5,dac,cash,0.42,0.3,0.18,0.1,0.305,0.324166060531,AI-proposed after preserved first run; frozen before revised results,pool contribution counterfactual,prospective public-good budget and randomized exposure,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
EA5,direct,labor,0.38,0.29,0.21,0.12,0.3425,0.39648411138,AI-proposed after preserved first run; frozen before revised results,review/action counterfactual,prospective time plan and randomized exposure,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
NE1,redirect,cash,0.62,0.22,0.1,0.06,0.185,0.232515502043,AI-proposed after preserved first run; frozen before revised results,counterfactual opposed giving,prospective fallback and 12-month follow-up,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
NE1,direct,cash,0.6,0.22,0.1,0.08,0.195,0.334729665661,AI-proposed after preserved first run; frozen before revised results,payer counterfactual,prospective payment plan and randomized exposure,AI_proposed_after_preserved_first_run_frozen_before_revised_results_not_empirical
