archetype_id,resource,inherits_general,factory_farming_reduction,wild_animal_suffering,residual_existential_risk_prevention,preventing_extreme_power_concentration,biorisk_prevention,space_governance,global_health,strategic_reasoning,environmental_protection,total_sparks,evidence_status
EA1,money,True,30,5,15,5,10,5,15,5,10,100,AI_proposed_prior_not_empirical
EA1,ordinary_action,True,30,5,15,5,10,5,15,5,10,100,AI_proposed_prior_not_empirical
EA1,skilled_work,True,30,5,15,5,10,5,15,5,10,100,AI_proposed_prior_not_empirical
EA1,career,True,30,5,15,5,10,5,15,5,10,100,AI_proposed_prior_not_empirical
EA2,money,False,10,5,25,12,12,8,10,10,8,100,AI_proposed_prior_not_empirical
EA2,ordinary_action,True,12,6,20,10,10,8,12,12,10,100,AI_proposed_prior_not_empirical
EA2,skilled_work,True,12,6,20,10,10,8,12,12,10,100,AI_proposed_prior_not_empirical
EA2,career,True,12,6,20,10,10,8,12,12,10,100,AI_proposed_prior_not_empirical
EA3,money,True,50,4,8,4,5,3,10,5,11,100,AI_proposed_prior_not_empirical
EA3,ordinary_action,False,60,3,5,3,3,2,8,4,12,100,AI_proposed_prior_not_empirical
EA3,skilled_work,True,50,4,8,4,5,3,10,5,11,100,AI_proposed_prior_not_empirical
EA3,career,True,50,4,8,4,5,3,10,5,11,100,AI_proposed_prior_not_empirical
EA4,money,True,10,5,18,10,12,7,10,20,8,100,AI_proposed_prior_not_empirical
EA4,ordinary_action,True,10,5,18,10,12,7,10,20,8,100,AI_proposed_prior_not_empirical
EA4,skilled_work,False,7,5,20,12,15,8,8,20,5,100,AI_proposed_prior_not_empirical
EA4,career,True,10,5,18,10,12,7,10,20,8,100,AI_proposed_prior_not_empirical
EA5,money,True,15,8,15,10,10,5,15,12,10,100,AI_proposed_prior_not_empirical
EA5,ordinary_action,False,20,8,10,8,8,4,18,10,14,100,AI_proposed_prior_not_empirical
EA5,skilled_work,True,15,8,15,10,10,5,15,12,10,100,AI_proposed_prior_not_empirical
EA5,career,True,15,8,15,10,10,5,15,12,10,100,AI_proposed_prior_not_empirical
NE1,money,False,8,2,8,35,6,4,10,4,23,100,AI_proposed_prior_not_empirical
NE1,ordinary_action,True,12,3,10,25,8,5,12,5,20,100,AI_proposed_prior_not_empirical
NE1,skilled_work,True,12,3,10,25,8,5,12,5,20,100,AI_proposed_prior_not_empirical
NE1,career,True,12,3,10,25,8,5,12,5,20,100,AI_proposed_prior_not_empirical
NE2,money,False,12,2,6,4,6,2,45,3,20,100,AI_proposed_prior_not_empirical
NE2,ordinary_action,True,15,3,8,5,8,3,35,5,18,100,AI_proposed_prior_not_empirical
NE2,skilled_work,True,15,3,8,5,8,3,35,5,18,100,AI_proposed_prior_not_empirical
NE2,career,True,15,3,8,5,8,3,35,5,18,100,AI_proposed_prior_not_empirical
NE3,money,True,25,4,10,5,8,3,15,10,20,100,AI_proposed_prior_not_empirical
NE3,ordinary_action,False,30,3,8,4,5,2,15,8,25,100,AI_proposed_prior_not_empirical
NE3,skilled_work,True,25,4,10,5,8,3,15,10,20,100,AI_proposed_prior_not_empirical
NE3,career,True,25,4,10,5,8,3,15,10,20,100,AI_proposed_prior_not_empirical
NE4,money,True,35,3,5,3,4,2,15,5,28,100,AI_proposed_prior_not_empirical
NE4,ordinary_action,False,40,2,4,2,3,1,12,4,32,100,AI_proposed_prior_not_empirical
NE4,skilled_work,True,35,3,5,3,4,2,15,5,28,100,AI_proposed_prior_not_empirical
NE4,career,True,35,3,5,3,4,2,15,5,28,100,AI_proposed_prior_not_empirical
NE5,money,False,12,4,12,8,8,4,28,8,16,100,AI_proposed_prior_not_empirical
NE5,ordinary_action,True,15,5,12,8,8,5,22,10,15,100,AI_proposed_prior_not_empirical
NE5,skilled_work,True,15,5,12,8,8,5,22,10,15,100,AI_proposed_prior_not_empirical
NE5,career,True,15,5,12,8,8,5,22,10,15,100,AI_proposed_prior_not_empirical
