scenario,forecast_basis,diagnostic,unit,draws,seed,mean,median,p05,p10,p25,p75,p90,p95,evidence_status
central,conditional,dac_cash_latent_credit,causal_credit,200000,69520260814,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,prior_driven_structural_diagnostic_not_empirical
central,conditional,direct_accepted_price_usd_per_hour,USD_per_hour,200000,69520260814,33.9261223745,21.598360959,0,0,0,48.1555747666,85.1241830984,117.358818592,prior_driven_structural_diagnostic_not_empirical
central,conditional,direct_cash_latent_credit,causal_credit,200000,69520260814,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,prior_driven_structural_diagnostic_not_empirical
central,conditional,direct_labor_latent_credit,causal_credit,200000,69520260814,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,prior_driven_structural_diagnostic_not_empirical
central,conditional,direct_payer_wtp_usd_per_hour,USD_per_hour,200000,69520260814,60.9617464787,38.8496265255,8.11459519455,11.4573003994,20.4614637852,73.7425248695,131.517994603,184.8727653,prior_driven_structural_diagnostic_not_empirical
central,conditional,direct_price_compatible,indicator,200000,69520260814,0.655915,1,0,0,0,1,1,1,prior_driven_structural_diagnostic_not_empirical
central,conditional,direct_price_overlap,proportion,200000,69520260814,0.302804422515,0.316183230567,0,0,0,0.522209055545,0.667378472486,0.734417803036,prior_driven_structural_diagnostic_not_empirical
central,conditional,direct_supplier_wta_usd_per_hour,USD_per_hour,200000,69520260814,40.1250264582,29.4304548472,8.10013282097,10.7547815898,17.2967106409,50.1146246695,80.8993046755,107.529617626,prior_driven_structural_diagnostic_not_empirical
central,conditional,redirect_cash_latent_credit,causal_credit,200000,69520260814,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,prior_driven_structural_diagnostic_not_empirical
central,probability_weighted,dac_cash_latent_credit,causal_credit,200000,69530260833,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,prior_driven_structural_diagnostic_not_empirical
central,probability_weighted,direct_accepted_price_usd_per_hour,USD_per_hour,200000,69530260833,34.0362079394,21.7838257696,0,0,0,48.4234690078,85.2762470272,116.875298915,prior_driven_structural_diagnostic_not_empirical
central,probability_weighted,direct_cash_latent_credit,causal_credit,200000,69530260833,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,prior_driven_structural_diagnostic_not_empirical
central,probability_weighted,direct_labor_latent_credit,causal_credit,200000,69530260833,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,prior_driven_structural_diagnostic_not_empirical
central,probability_weighted,direct_payer_wtp_usd_per_hour,USD_per_hour,200000,69530260833,61.1042669867,39.0934378049,8.23696280249,11.6091182374,20.6043047129,73.9131082737,131.160039566,184.959639143,prior_driven_structural_diagnostic_not_empirical
central,probability_weighted,direct_price_compatible,indicator,200000,69530260833,0.65693,1,0,0,0,1,1,1,prior_driven_structural_diagnostic_not_empirical
central,probability_weighted,direct_price_overlap,proportion,200000,69530260833,0.303061283823,0.316551718184,0,0,0,0.522374062443,0.667155319412,0.733288668868,prior_driven_structural_diagnostic_not_empirical
central,probability_weighted,direct_supplier_wta_usd_per_hour,USD_per_hour,200000,69530260833,40.230731959,29.6148989326,8.19985708041,10.8343260155,17.4146318683,50.1810092862,80.7686384258,107.022539825,prior_driven_structural_diagnostic_not_empirical
central,probability_weighted,redirect_cash_latent_credit,causal_credit,200000,69530260833,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,prior_driven_structural_diagnostic_not_empirical
thin_market,conditional,dac_cash_latent_credit,causal_credit,200000,69520360817,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,prior_driven_structural_diagnostic_not_empirical
thin_market,conditional,direct_accepted_price_usd_per_hour,USD_per_hour,200000,69520360817,34.2257608538,21.9000930068,0,0,0,48.5497207063,85.5742511845,117.8397179,prior_driven_structural_diagnostic_not_empirical
thin_market,conditional,direct_cash_latent_credit,causal_credit,200000,69520360817,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,prior_driven_structural_diagnostic_not_empirical
thin_market,conditional,direct_labor_latent_credit,causal_credit,200000,69520360817,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,prior_driven_structural_diagnostic_not_empirical
thin_market,conditional,direct_payer_wtp_usd_per_hour,USD_per_hour,200000,69520360817,61.2609362136,38.9643066976,8.20722980079,11.5879937844,20.6088655228,74.3637222232,131.977436445,185.18648811,prior_driven_structural_diagnostic_not_empirical
thin_market,conditional,direct_price_compatible,indicator,200000,69520360817,0.657325,1,0,0,0,1,1,1,prior_driven_structural_diagnostic_not_empirical
thin_market,conditional,direct_price_overlap,proportion,200000,69520360817,0.303307680658,0.316358740378,0,0,0,0.523040885211,0.666707407291,0.733217015781,prior_driven_structural_diagnostic_not_empirical
thin_market,conditional,direct_supplier_wta_usd_per_hour,USD_per_hour,200000,69520360817,40.3068788699,29.5520667072,8.18852217083,10.8713385279,17.4797393131,50.2664654459,81.0988201296,108.255808476,prior_driven_structural_diagnostic_not_empirical
thin_market,conditional,redirect_cash_latent_credit,causal_credit,200000,69520360817,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,prior_driven_structural_diagnostic_not_empirical
thin_market,probability_weighted,dac_cash_latent_credit,causal_credit,200000,69530360836,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,prior_driven_structural_diagnostic_not_empirical
thin_market,probability_weighted,direct_accepted_price_usd_per_hour,USD_per_hour,200000,69530360836,34.1188151354,21.7595388249,0,0,0,48.4126963248,85.3409307414,117.630167939,prior_driven_structural_diagnostic_not_empirical
thin_market,probability_weighted,direct_cash_latent_credit,causal_credit,200000,69530360836,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,prior_driven_structural_diagnostic_not_empirical
thin_market,probability_weighted,direct_labor_latent_credit,causal_credit,200000,69530360836,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,prior_driven_structural_diagnostic_not_empirical
thin_market,probability_weighted,direct_payer_wtp_usd_per_hour,USD_per_hour,200000,69530360836,61.3348331435,38.9904381774,8.21856893065,11.5837225826,20.6852520691,74.2654408121,132.031507921,186.269749142,prior_driven_structural_diagnostic_not_empirical
thin_market,probability_weighted,direct_price_compatible,indicator,200000,69530360836,0.65676,1,0,0,0,1,1,1,prior_driven_structural_diagnostic_not_empirical
thin_market,probability_weighted,direct_price_overlap,proportion,200000,69530360836,0.303210096872,0.316569514734,0,0,0,0.522957432129,0.666387888897,0.732698356832,prior_driven_structural_diagnostic_not_empirical
thin_market,probability_weighted,direct_supplier_wta_usd_per_hour,USD_per_hour,200000,69530360836,40.4176149325,29.5507602538,8.13465054237,10.8180784845,17.3946977251,50.4539195914,81.2453089321,107.936909552,prior_driven_structural_diagnostic_not_empirical
thin_market,probability_weighted,redirect_cash_latent_credit,causal_credit,200000,69530360836,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,conditional,dac_cash_latent_credit,causal_credit,200000,69520460820,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,conditional,direct_accepted_price_usd_per_hour,USD_per_hour,200000,69520460820,34.0667519344,21.6704247632,0,0,0,48.2457193127,85.5882282256,117.727531157,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,conditional,direct_cash_latent_credit,causal_credit,200000,69520460820,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,conditional,direct_labor_latent_credit,causal_credit,200000,69520460820,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,conditional,direct_payer_wtp_usd_per_hour,USD_per_hour,200000,69520460820,61.159603135,38.8523847031,8.16673208336,11.4688387312,20.5218834299,73.8376913056,131.682947717,186.499169913,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,conditional,direct_price_compatible,indicator,200000,69520460820,0.6553,1,0,0,0,1,1,1,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,conditional,direct_price_overlap,proportion,200000,69520460820,0.302796148051,0.315781312917,0,0,0,0.522345039662,0.666793502106,0.732800373326,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,conditional,direct_supplier_wta_usd_per_hour,USD_per_hour,200000,69520460820,40.1908693048,29.4675321021,8.06288860594,10.7660129746,17.3881404417,50.184745986,80.9247146797,107.705793023,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,conditional,redirect_cash_latent_credit,causal_credit,200000,69520460820,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,probability_weighted,dac_cash_latent_credit,causal_credit,200000,69530460839,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,probability_weighted,direct_accepted_price_usd_per_hour,USD_per_hour,200000,69530460839,34.1608347234,21.8478079859,0,0,0,48.38061178,85.3258579564,117.319216852,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,probability_weighted,direct_cash_latent_credit,causal_credit,200000,69530460839,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,probability_weighted,direct_labor_latent_credit,causal_credit,200000,69530460839,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,probability_weighted,direct_payer_wtp_usd_per_hour,USD_per_hour,200000,69530460839,61.3235864771,38.9938498414,8.16029589112,11.5412654612,20.4641310688,74.0274243131,131.305436134,186.398525236,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,probability_weighted,direct_price_compatible,indicator,200000,69530460839,0.657755,1,0,0,0,1,1,1,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,probability_weighted,direct_price_overlap,proportion,200000,69530460839,0.304047851206,0.317066441368,0,0,0,0.524451983533,0.668549718268,0.733726009403,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,probability_weighted,direct_supplier_wta_usd_per_hour,USD_per_hour,200000,69530460839,40.203404434,29.5083841073,8.10207889365,10.7613783267,17.374544169,50.1619496214,80.4935779924,107.190696984,prior_driven_structural_diagnostic_not_empirical
