forecast_basis,rank,input_parameter,pearson_correlation,normalized_squared_correlation,method
conditional,1,redirect_compatibility,0.593785055746,0.162045414953,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,2,cash_use_share,0.563096306782,0.145728192656,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,3,market_liquidity,0.502657986333,0.116124376488,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,4,platform_trust,0.39359897676,0.0712010080549,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,5,repeat_use,0.368215110003,0.0623133978424,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,6,direct_match_efficiency,0.354992754351,0.0579184857208,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,7,direct_demand_fraction,0.336054655738,0.051903668448,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,8,direct_supply_fraction,0.312298058884,0.0448246379672,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,9,redirect_min_fill_loss,-0.286050056368,0.0376064463425,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,10,ordinary_time_use_share,0.259243536201,0.0308883062468,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,11,reliability,0.241337767486,0.0267687938277,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,12,skilled_time_use_share,0.237158669759,0.0258497431566,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,13,adoption_fraction,0.20751552003,0.0197915308199,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,14,coact_activity_share,0.184369585249,0.0156227246477,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,15,evidence_acceptance,0.183501418674,0.0154759412828,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,16,coact_role_completion,0.15676032472,0.0112940714205,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,17,redirect_addon_ratio,0.143291315742,0.00943665248425,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,18,redirect_settlement_loss,-0.123801367275,0.00704415823556,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,19,cash_additionality,0.122949996652,0.00694760730959,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,20,coact_attrition,-0.119864935235,0.00660332284562,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,21,direct_price_fit,0.112378282351,0.00580420844251,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,22,support_cash_cost_per_user_year,-0.10863281476,0.00542375777992,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,23,time_additionality,0.106659063504,0.005228459559,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,24,operational_probability,0.0960276673883,0.00423809785402,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,25,review_cash_cost_per_user_year,-0.094712571485,0.00412281148318,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,26,dac_social_proof,0.092561410183,0.00393765938338,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,27,security_cash_cost_per_user_year,-0.0898152090662,0.00370747295139,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,28,legal_cash_cost_per_user_year,-0.089625894025,0.0036918599905,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,29,cloud_cost_per_user_year,-0.0852629688675,0.003341174225,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,30,api_cost_per_user_year,-0.0852595766325,0.00334090836932,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,31,dac_willing_pledge_ratio,0.0838709511076,0.00323296763484,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,32,adoption_liquidity_exponent,-0.0809500879332,0.00301170805579,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,33,dac_free_riding,-0.0796659120011,0.00291691171952,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,34,redirect_high_impact_share,-0.0791535218211,0.00287951076705,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,35,dac_pools_per_10000_user_years,0.0690965345735,0.00219427347903,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,36,dac_bonus_transfer_fee,-0.0672699145614,0.00207979233406,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,37,failed_settlement_loss_rate,-0.0662733016954,0.00201862401557,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,38,refund_loss_rate,-0.0654633102312,0.0019695823566,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,39,redirect_lower_impact_share,0.0615530728677,0.00174131643269,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,40,processor_fee_rate,-0.0612440200972,0.00172387432563,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,41,chargeback_loss_rate,-0.0579705610249,0.00154451890227,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,42,displacement_fraction_12m,-0.0558639767837,0.00143430633966,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,43,dac_invalid_pledge_share,-0.0497984340357,0.00113974997978,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,44,direct_skilled_category_share,0.0486871541533,0.00108944924186,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,45,coact_same_action_share,0.0434018925033,0.000865756089344,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,46,coordination_hours_per_completion,-0.0380121760388,0.000664085021275,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,47,support_hours_per_support_user_year,-0.0335783462481,0.000518199306089,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,48,cause_directed_payment_share,0.0234185442447,0.000252056563237,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,49,displacement_fraction_90d,-0.0214297899659,0.000211063944363,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,50,dac_pool_target,0.0156277112493,0.000112245509959,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,51,timing_shift_fraction,-0.0122048118194,6.8460551935e-05,normalized_squared_Pearson_screening_not_variance_decomposition
conditional,52,dac_bonus_response,0.0115208406241,6.10023489807e-05,normalized_squared_Pearson_screening_not_variance_decomposition
